color,brand_id
Navy Blue,868
Pink,75
Pink,488
Black,3
Off White,544
Maroon,799
Black,544
Rose,675
Pink,313
Blue,841
Green,239
Blue,287
Pink,133
Off White,439
Blue,230
Blue,354
Sea Green,77
Navy Blue,962
Green,903
Mustard,554
Teal,398
Teal,75
Teal,389
Burgundy,151
Pink,75
Cream,313
Turquoise Blue,226
Black,98
Blue,285
Beige,958
Rust,133
Mustard,214
Pink,845
Off White,971
Maroon,416
Grey,783
Navy Blue,363
Pink,945
Maroon,587
Blue,962
Yellow,142
White,507
White,353
Navy Blue,846
Pink,706
White,207
Grey,1002
Pink,787
Mustard,131
Green,38
Blue,750
Purple,688
Black,279
Black,353
Blue,832
Green,374
Black,583
Green,544
Peach,356
Blue,125
Black,427
Green,412
Teal,887
Red,832
Pink,897
Peach,66
Black,783
Maroon,37
Black,1
Pink,356
Blue,530
Navy Blue,242
Off White,133
Pink,353
Peach,204
Beige,544
Black,554
White,931
Purple,631
Olive,136
Black,712
Black,19
Pink,783
Olive,750
Yellow,951
White,554
Blue,162
Purple,868
Beige,551
Black,357
Mustard,903
Cream,460
Blue,530
Navy Blue,356
Green,353
Navy Blue,328
Orange,291
Red,287
Green,841
White,903
White,230
Navy Blue,674
Olive,239
Maroon,776
Olive,903
Teal,79
Black,1011
Sea Green,776
Brown,489
Pink,987
Pink,776
Green,544
Black,473
Black,846
Blue,314
Black,557
Red,75
Grey,962
Black,936
Brown,162
Mustard,1014
White,417
Pink,405
Black,544
Pink,583
Burgundy,767
Teal,557
Pink,353
Yellow,427
Brown,931
Green,282
Lime Green,555
Blue,171
Mustard,336
Blue,554
Charcoal,530
White,242
Black,431
Blue,353
Black,557
Yellow,969
Black,958
Black,845
White,544
White,931
Black,931
Pink,611
Pink,133
Pink,293
Blue,750
Mustard,404
Grey,162
Orange,727
Grey,958
Navy Blue,799
Peach,841
Blue,783
Orange,945
Red,951
White,207
Turquoise Blue,226
White,848
Fluorescent Green,444
Beige,75
Off White,544
Red,962
Black,365
Yellow,726
Olive,544
Black,381
Blue,507
Black,427
Brown,958
Red,928
Black,179
Lavender,296
Green,952
Pink,391
Black,848
Pink,869
Purple,688
Multi,353
Maroon,533
Black,421
Off White,50
Black,921
White,787
Black,868
Black,75
Mustard,75
Black,353
Black,458
Navy Blue,544
Blue,133
Pink,439
Gold,414
Navy Blue,363
Grey Melange,534
Pink,353
Mauve,688
White,125
Mustard,131
White,232
Blue,903
Turquoise Blue,773
Blue,133
Purple,750
Blue,583
Teal,806
Purple,330
Black,931
Orange,398
Blue,313
Beige,652
Black,222
Blue,353
Blue,903
Blue,750
Black,793
Pink,242
Rose,279
White,554
Sea Green,357
White,945
Beige,776
Red,945
Cream,544
Peach,786
Pink,527
Black,360
Grey,865
Green,801
Maroon,52
Black,839
Navy Blue,903
Black,783
Blue,66
Blue,750
White,660
Burgundy,779
Teal,799
Blue,783
Pink,875
Yellow,133
Cream,179
Orange,976
Navy Blue,512
Pink,444
Grey,78
Blue,555
Mustard,783
Burgundy,930
Black,125
Blue,903
Black,962
Navy Blue,279
Blue,783
Navy Blue,227
Blue,801
Charcoal,404
Lavender,313
Green,668
Black,313
Red,287
Grey,82
Black,931
Green,931
Beige,726
Teal,79
Pink,583
Black,381
White,363
Maroon,263
Gold,832
White,125
Olive,903
Lavender,509
White,544
Black,555
Blue,949
Black,630
Black,544
Grey,98
Beige,353
White,242
Navy Blue,230
Beige,776
Brown,279
Red,239
Off White,544
Black,1014
Yellow,526
Blue,397
Grey,353
Coffee Brown,50
Cream,649
Lime Green,776
Red,832
Teal,799
Black,903
Olive,52
Black,259
White,787
Blue,66
White,783
Pink,858
Maroon,357
Blue,931
Black,544
Yellow,133
Black,22
Yellow,902
Black,660
Black,346
Pink,971
Pink,253
Blue,52
Green,111
White,956
Blue,783
Teal,439
Pink,776
Pink,131
Black,239
Purple,750
Lavender,458
Black,357
Blue,783
Navy Blue,827
Cream,133
Fluorescent Green,239
Green,652
Taupe,389
Green,86
Navy Blue,16
Off White,258
Orange,841
Off White,404
Black,750
Beige,706
Fuchsia,783
Blue,507
Magenta,75
Beige,509
Black,323
Purple,846
Off White,544
Orange,84
Brown,931
Black,848
Blue,475
Blue,287
Blue,903
Blue,799
Navy Blue,66
Burgundy,779
Beige,133
White,544
Beige,868
Green,652
Blue,353
Mustard,114
Grey,970
Black,473
Navy Blue,91
Blue,595
Maroon,147
Black,943
Pink,363
Gold,521
Blue,750
Pink,750
Beige,760
Black,353
Grey,79
Cream,554
Cream,769
Magenta,945
Purple,723
Blue,554
Black,95
Pink,272
Fuchsia,583
Turquoise Blue,613
Blue,832
Pink,848
Taupe,903
Black,272
Red,921
Black,706
Grey,896
Green,722
Pink,242
Peach,858
Red,451
Navy Blue,260
Black,903
Pink,604
Green,903
Blue,544
Grey,943
Yellow,439
Pink,135
Blue,398
Burgundy,783
Olive,921
White,418
Pink,75
Navy Blue,750
Maroon,75
White,507
Sea Green,663
Red,16
Beige,353
Rust,50
Blue,387
Black,432
Black,46
Pink,393
Green,353
Mustard,903
Red,783
Olive,750
Navy Blue,846
White,760
Maroon,866
Blue,750
Red,799
Pink,572
Blue,969
Blue,596
Grey,427
Red,502
Red,111
Grey,170
Beige,331
Pink,52
Green,845
White,179
White,363
Olive,903
Yellow,397
Pink,832
Maroon,583
Green,279
Navy Blue,75
Coffee Brown,572
Lavender,162
White,313
Blue,595
Peach,583
Pink,1017
Peach,398
Beige,353
Navy Blue,750
Green,260
Navy Blue,458
Black,688
Black,279
Green,217
Olive,858
Red,783
Blue,776
Blue,507
Black,832
Pink,430
Blue,563
Purple,361
Teal,987
Pink,958
Black,52
Black,125
Purple,75
Grey Melange,760
Green,903
Pink,626
Green,439
Blue,544
Lavender,951
Off White,242
Teal,496
Black,824
Green,976
Yellow,544
Black,846
Fuchsia,964
Green,353
Grey,200
White,363
Navy Blue,903
Navy Blue,783
Grey,279
Blue,750
Burgundy,512
Grey,931
Black,162
Gold,842
Navy Blue,846
Red,841
Black,555
Blue,583
Black,381
Pink,1014
Maroon,936
Peach,135
Beige,242
Olive,544
White,799
Blue,858
Black,544
Yellow,866
Black,544
Navy Blue,800
Orange,95
Rust,983
Pink,133
Black,95
Gold,60
Black,37
Blue,754
White,931
Blue,147
Green,962
Blue,783
Blue,750
Navy Blue,509
Cream,767
Blue,750
Gold,728
Beige,353
Black,903
Maroon,962
Mustard,759
Red,125
Pink,563
White,147
Green,363
Multi,931
White,563
Maroon,122
White,362
Pink,841
Blue,783
Beige,971
Red,903
Beige,374
Grey,551
Black,708
Green,890
Lavender,945
Navy Blue,50
Black,318
Green,832
Pink,360
White,544
Green,251
Navy Blue,567
Black,405
Green,239
White,472
Green,363
Blue,931
Pink,263
Green,750
Yellow,943
White,760
Rose,675
Beige,353
Black,824
White,777
Off White,563
Blue,353
Turquoise Blue,776
Black,362
Yellow,945
Beige,842
Off White,217
Purple,882
Grey Melange,554
Blue,1014
Silver,242
Black,458
White,903
Orange,725
Green,1006
Blue,976
Black,147
Black,147
Brown,368
Black,1002
Teal,799
Black,439
Beige,279
Black,971
Gold,858
Beige,162
Pink,283
Black,230
White,353
Blue,958
Blue,133
Sea Green,783
Black,962
White,160
Fuchsia,675
Maroon,727
Blue,583
Black,1007
Pink,356
Black,162
Blue,750
Blue,239
Blue,100
Maroon,79
Maroon,956
Black,846
Green,397
Red,583
Silver,845
Maroon,75
Navy Blue,252
Brown,234
Black,46
White,551
Brown,783
Grey,903
Magenta,389
Mustard,439
Black,691
Mustard,618
Blue,421
Black,357
Maroon,512
Orange,555
Black,353
Black,544
Purple,734
Cream,734
Burgundy,848
White,360
Navy Blue,279
White,962
Off White,242
Black,458
Red,663
Mustard,356
Black,750
White,717
Pink,278
Green,779
Blue,986
Brown,236
Pink,544
Green,832
Mustard,458
Olive,936
Blue,57
Black,52
Burgundy,688
Black,930
Black,57
White,903
Pink,603
Blue,230
Red,68
White,1020
Teal,444
Green,825
Black,544
Blue,458
Multi,147
Teal,762
Purple,353
Pink,832
Black,353
Mustard,845
Black,783
Navy Blue,131
Yellow,179
Gold,772
Black,625
Sea Green,357
Pink,850
Blue,259
Red,478
Red,715
Pink,356
Beige,287
Peach,846
Brown,313
Green,98
Peach,555
Pink,776
Grey,706
Burgundy,799
White,767
Black,776
Navy Blue,52
Mustard,776
Blue,507
Pink,835
Black,758
Beige,544
Black,427
Purple,576
Grey,353
Beige,353
Black,353
Blue,104
Mustard,783
Red,389
Red,179
Rust,77
White,767
Blue,309
Red,812
Blue,1014
Coral,544
Pink,706
Blue,958
Blue,125
Pink,962
Red,776
Yellow,544
Blue,47
Black,147
Grey,841
White,762
Black,930
Navy Blue,583
Mustard,224
Pink,398
Off White,397
Beige,353
Navy Blue,554
Burgundy,793
Pink,239
Lime Green,958
Black,734
Blue,903
Cream,675
Navy Blue,314
Green,931
Rust,726
Beige,446
Pink,454
Blue,66
Yellow,903
Mustard,731
Pink,324
Black,931
Blue,897
Purple,845
White,353
Pink,544
Blue,675
Blue,668
Grey,91
Navy Blue,630
Pink,151
Pink,441
Black,353
Navy Blue,750
Olive,750
Grey,760
Pink,958
Grey,353
Green,825
White,427
Orange,397
Yellow,389
Blue,675
Mustard,133
Coral,313
Yellow,779
Blue,563
Purple,146
Black,180
Mauve,783
Yellow,131
Black,258
Blue,750
Multi,858
Pink,968
Grey,853
Charcoal,75
Beige,297
Black,313
Sea Green,675
Blue,349
Turquoise Blue,261
Blue,292
Black,958
Blue,353
Sea Green,688
Grey,1007
Olive,750
Blue,903
White,260
Pink,162
Olive,376
Pink,776
Black,767
Grey,507
Teal,104
Green,675
Lavender,498
Red,776
Black,721
Maroon,169
White,104
Rose,841
Navy Blue,131
Maroon,930
Off White,760
Pink,362
Lavender,998
Navy Blue,799
Blue,554
Grey,767
Beige,653
Orange,812
Grey,353
Sea Green,675
Purple,583
Pink,733
Yellow,242
Black,313
Rust,381
White,365
Olive,903
Beige,68
Pink,544
Pink,133
Purple,398
Maroon,357
White,135
Purple,903
Pink,832
Beige,793
Pink,374
Pink,397
Blue,193
Grey,353
Blue,198
Yellow,783
Pink,699
White,242
Pink,363
Blue,903
Green,133
Rose,750
Pink,999
Black,700
White,903
Pink,1017
Navy Blue,615
Blue,592
Navy Blue,632
Green,583
Lavender,848
Beige,272
Grey,783
Navy Blue,418
Olive,381
Blue,783
Maroon,673
Yellow,846
Lavender,776
Black,353
Blue,484
Purple,832
Blue,544
Teal,208
Green,983
Blue,475
Green,776
Grey,596
Blue,111
Navy Blue,381
Olive,0
Red,943
Peach,783
Pink,357
Black,50
Pink,25
Navy Blue,618
Grey,583
Pink,431
Pink,968
Blue,958
Turquoise Blue,287
Blue,489
Yellow,762
Navy Blue,727
Pink,47
Black,903
Maroon,133
Lime Green,663
Red,404
Black,458
Black,850
Black,444
Olive,799
Blue,544
Charcoal,472
Blue,783
Yellow,832
Red,238
White,848
Green,444
Maroon,563
White,964
Peach,783
Charcoal,554
Grey Melange,554
Navy Blue,897
Red,469
Rose,903
Blue,397
Navy Blue,868
Black,330
Yellow,133
Orange,554
Brown,800
Navy Blue,4
Red,727
Blue,47
Blue,507
Blue,712
Lime Green,75
Orange,242
Black,900
Blue,725
Pink,25
Navy Blue,357
White,353
Navy Blue,544
Black,365
Green,783
Rose,800
Black,908
Black,353
Blue,125
Yellow,261
Yellow,870
Pink,963
Off White,750
Green,562
Maroon,131
Black,841
Navy Blue,750
Beige,673
Teal,439
Blue,507
Black,903
Maroon,625
Blue,1006
Blue,458
Blue,407
Blue,47
Black,776
White,170
Blue,670
Navy Blue,868
Black,125
Grey,544
Black,760
Charcoal,750
Gold,842
Green,75
Grey,931
Green,467
Beige,176
Sea Green,762
Blue,234
White,282
Blue,910
White,783
Beige,353
Grey,133
Pink,583
Blue,404
Green,389
Pink,783
Navy Blue,50
Maroon,799
Peach,581
Beige,353
Off White,868
Pink,715
Green,509
Pink,706
Green,234
Blue,52
Multi,353
Blue,291
Black,367
Sea Green,165
Blue,783
Pink,75
Black,842
Beige,760
Cream,903
Red,769
Grey,52
Green,591
Blue,132
Off White,733
Brown,583
Beige,297
Fluorescent Green,762
Blue,733
Lavender,544
Brown,147
Charcoal,751
Red,149
Yellow,544
Purple,75
Olive,652
Maroon,374
Taupe,801
Off White,750
Navy Blue,458
Beige,783
White,353
Pink,821
Black,125
Blue,47
Lavender,162
Black,962
White,848
Blue,455
Olive,903
Blue,750
Pink,336
Black,958
Cream,804
Navy Blue,50
Black,507
Beige,992
Gold,728
Blue,353
Mustard,133
White,983
Peach,47
Beige,261
Blue,292
Black,319
Pink,750
Peach,799
Burgundy,374
Pink,544
Pink,776
Purple,520
Maroon,800
Blue,903
Gold,242
Black,95
Turquoise Blue,846
Pink,554
Black,832
Red,509
Pink,47
Black,608
Black,847
Black,362
Red,762
Khaki,783
Yellow,381
Green,79
Black,135
Coral,841
Black,151
Maroon,783
Turquoise Blue,882
Blue,868
Blue,353
Orange,767
Lavender,154
Teal,776
Blue,544
Pink,47
Orange,583
Maroon,179
Peach,125
Green,815
Fuchsia,903
Navy Blue,726
White,794
Pink,225
Navy Blue,943
White,642
Red,544
White,404
Black,431
Red,186
White,47
Grey Melange,446
Blue,57
Blue,365
Cream,336
Pink,945
Grey,744
Pink,750
Maroon,943
Pink,543
Peach,50
Orange,767
Black,800
Green,404
Pink,95
Orange,604
Black,353
White,47
Black,179
Multi,147
